Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.784741542,-1.063156128,-16.76792145,-42.16358948,45.38790333
1.794687542,-1.014678955,-16.90731621,-42.19096375,45.46387947
1.804632542,-0.934143066,-16.97023964,-41.89830017,45.21425897
1.814578542,-1.000076294,-16.94799995,-42.29496765,45.57520317
1.824524542,-0.681625366,-16.97715759,-42.05601501,45.35853715
1.834470542,-0.712783813,-16.94844055,-42.11512756,45.40310196
1.844416542,-0.647735596,-16.68832588,-42.09022522,45.28252247
1.854362542,-0.59664917,-17.06062889,-42.17771912,45.50143996
1.864307542,-0.821090698,-17.03674316,-42.20814514,45.52419493
1.874253542,-0.653045654,-17.03424644,-41.97947693,45.30859194
1.884199542,-0.735687256,-17.07949257,-41.92710876,45.27839166
1.894145542,-0.750701904,-16.84769821,-42.1559906,45.40414113
1.904091542,-0.418457031,-16.50881577,-42.01808167,45.14681928
1.914036542,-0.419403076,-16.53925514,-42.14683533,45.27779354
1.923982542,-0.788650513,-16.48129845,-42.27882385,45.38451404
1.933928542,-0.645492554,-16.1826458,-42.2419281,45.24019424
1.943874542,-0.55619812,-16.26428032,-42.71165466,45.70690992
1.953820542,-0.656463623,-15.94182587,-42.40440369,45.30680091
1.963766542,-0.626647949,-15.90368271,-42.35700989,45.24860327
1.973711542,-1.092712402,-15.8010006,-42.45307922,45.31147289
1.983657542,-1.106781006,-15.90420914,-42.41453552,45.31182689
1.993603542,-1.189422607,-15.87417984,-42.46128845,45.34716451
2.003549542,-1.303207397,-15.79623985,-42.52879333,45.38631738
2.013495542,-1.736709595,-16.04457664,-42.23420715,45.21252983
2.023440542,-1.877243042,-15.91970634,-42.38606262,45.31599493
2.033386542,-1.933273315,-15.9323082,-41.98783875,44.95057945
2.043332542,-2.217971802,-16.23462105,-42.0849762,45.16223578
2.053278542,-2.401367188,-16.06368828,-42.05961609,45.08680462
2.063224542,-2.75769043,-16.51726341,-42.24720764,45.44503714
2.073169542,-2.819625854,-16.6035862,-41.72218323,44.99299876
